comparison,model_a,model_b,n_subjects,mean_a,mean_b,mean_diff,std_diff,t_stat,p_value,cohens_d,p_bonferroni,sig_raw,sig_bonferroni
eegnet vs cnn,eegnet,cnn,2,0.5687,0.5359,0.0327,0.0295,2.477,0.0685,1.108,1.0,ns,ns
eegnet vs cnn,eegnet,cnn,4,0.5951,0.5526,0.0425,0.0128,7.423,0.0018,3.32,0.0324,**,*
eegnet vs cnn,eegnet,cnn,6,0.5988,0.5524,0.0464,0.0129,8.047,0.0013,3.599,0.0234,**,*
eegnet vs cnn,eegnet,cnn,8,0.6036,0.5532,0.0504,0.0097,11.668,0.0003,5.218,0.0054,***,**
eegnet vs cnn,eegnet,cnn,10,0.609,0.5491,0.0599,0.0048,28.151,0.0,12.589,0.0,***,***
eegnet vs cnn,eegnet,cnn,14,0.6144,0.5549,0.0595,0.0045,29.299,0.0,13.103,0.0,***,***
cnn_v2 vs cnn,cnn_v2,cnn,2,0.5556,0.5359,0.0197,0.0341,1.292,0.266,0.578,1.0,ns,ns
cnn_v2 vs cnn,cnn_v2,cnn,4,0.5802,0.5526,0.0277,0.013,4.748,0.009,2.124,0.162,**,ns
cnn_v2 vs cnn,cnn_v2,cnn,6,0.5921,0.5524,0.0398,0.0112,7.923,0.0014,3.543,0.0252,**,*
cnn_v2 vs cnn,cnn_v2,cnn,8,0.5964,0.5532,0.0432,0.0142,6.804,0.0024,3.043,0.0432,**,*
cnn_v2 vs cnn,cnn_v2,cnn,10,0.6073,0.5491,0.0582,0.0052,25.248,0.0,11.291,0.0,***,***
cnn_v2 vs cnn,cnn_v2,cnn,14,0.6127,0.5549,0.0578,0.0068,19.035,0.0,8.513,0.0,***,***
eegnet vs cnn_v2,eegnet,cnn_v2,2,0.5687,0.5556,0.0131,0.0076,3.851,0.0183,1.722,0.3294,*,ns
eegnet vs cnn_v2,eegnet,cnn_v2,4,0.5951,0.5802,0.0149,0.0046,7.192,0.002,3.216,0.036,**,*
eegnet vs cnn_v2,eegnet,cnn_v2,6,0.5988,0.5921,0.0066,0.0054,2.746,0.0516,1.228,0.9288,ns,ns
eegnet vs cnn_v2,eegnet,cnn_v2,8,0.6036,0.5964,0.0072,0.0093,1.732,0.1583,0.775,1.0,ns,ns
eegnet vs cnn_v2,eegnet,cnn_v2,10,0.609,0.6073,0.0017,0.0023,1.648,0.1747,0.737,1.0,ns,ns
eegnet vs cnn_v2,eegnet,cnn_v2,14,0.6144,0.6127,0.0017,0.0039,0.965,0.3894,0.431,1.0,ns,ns
